age,prior_offenses,employment_status,education_level,drug_history,marital_status,housing_stability,mental_health_issues,age_at_first_offense,community_support,employment_type,reoffended
32,1,unemployed,high_school,0,single,stable,0,28,medium,full_time,1
22,2,employed,college,0,married,stable,1,29,high,part_time,0
25,4,unemployed,college,0,single,stable,0,21,medium,full_time,1
21,3,unemployed,college,0,single,stable,1,16,medium,unemployed,1
29,2,employed,none,0,married,unstable,1,17,medium,full_time,1
37,1,employed,college,1,married,stable,1,16,low,part_time,1
22,3,unemployed,college,1,married,unstable,0,15,medium,part_time,1
34,2,unemployed,high_school,1,single,unstable,0,18,medium,unemployed,1
25,1,employed,none,0,single,stable,0,22,medium,full_time,1
23,0,unemployed,high_school,1,single,stable,1,16,medium,unemployed,1
29,0,employed,college,0,married,stable,0,17,medium,full_time,0
21,2,employed,high_school,0,married,stable,0,26,low,full_time,0
25,0,employed,college,1,married,stable,0,26,low,part_time,1
20,1,employed,high_school,0,single,stable,0,25,low,unemployed,1
45,0,unemployed,college,0,single,stable,0,11,low,part_time,0
30,0,employed,none,0,single,unstable,0,17,medium,unemployed,0
24,2,unemployed,high_school,0,single,stable,0,26,medium,full_time,1
31,2,employed,high_school,1,single,unstable,0,22,low,unemployed,1
29,4,employed,none,0,married,stable,1,27,high,full_time,0
28,4,employed,college,1,married,unstable,0,19,high,part_time,1
34,0,employed,high_school,0,married,stable,0,11,medium,part_time,0
36,2,employed,high_school,0,single,stable,0,11,medium,full_time,1
25,1,employed,high_school,0,single,unstable,0,23,medium,full_time,1
25,2,employed,high_school,0,married,stable,0,25,low,part_time,0
27,1,employed,none,0,single,stable,1,16,high,full_time,1
18,0,employed,none,1,divorced,stable,0,21,low,full_time,1
18,4,employed,college,1,single,stable,0,23,high,full_time,1
40,4,unemployed,high_school,1,single,stable,0,13,medium,part_time,1
43,1,unemployed,college,1,divorced,unstable,0,13,medium,full_time,1
28,1,employed,college,1,single,stable,0,27,medium,full_time,0
34,3,employed,high_school,0,married,stable,0,12,medium,full_time,0
32,6,employed,high_school,1,married,unstable,0,10,low,full_time,1
54,1,unemployed,high_school,0,single,stable,0,26,medium,unemployed,0
38,1,employed,college,0,single,stable,0,16,medium,unemployed,0
28,3,employed,college,0,married,unstable,0,25,medium,full_time,1
22,3,employed,high_school,0,married,stable,0,14,low,part_time,1
18,1,employed,college,0,single,stable,0,28,medium,part_time,0
31,2,employed,none,1,divorced,stable,1,16,high,part_time,1
23,2,unemployed,college,0,single,stable,0,23,medium,part_time,1
18,1,employed,college,0,single,stable,0,11,medium,full_time,0
24,2,unemployed,none,0,single,stable,1,12,high,full_time,1
21,2,employed,high_school,0,single,unstable,0,26,medium,full_time,0
43,2,employed,none,0,single,stable,0,25,medium,full_time,1
37,2,unemployed,high_school,0,divorced,stable,0,17,high,part_time,1
29,2,employed,college,0,single,unstable,0,27,medium,full_time,1
41,1,unemployed,high_school,0,single,stable,0,24,low,full_time,0
30,1,employed,none,1,single,unstable,0,16,low,full_time,1
23,5,employed,high_school,1,married,stable,0,18,medium,unemployed,1
42,3,unemployed,college,0,married,unstable,0,15,low,unemployed,1
34,3,employed,high_school,0,single,stable,1,27,high,part_time,1
21,1,unemployed,high_school,0,single,stable,0,27,low,full_time,1
28,2,employed,none,1,single,stable,0,23,medium,part_time,1
22,7,unemployed,college,0,single,stable,1,23,low,full_time,1
18,2,employed,college,0,single,unstable,0,23,medium,full_time,1
37,2,employed,high_school,1,single,stable,0,13,high,full_time,1
45,3,unemployed,none,0,single,stable,1,13,medium,part_time,0
18,0,unemployed,none,0,married,unstable,0,24,high,part_time,1
34,2,unemployed,none,0,single,stable,0,24,low,unemployed,1
24,2,unemployed,high_school,1,divorced,stable,0,27,low,unemployed,1
26,2,unemployed,college,1,divorced,stable,0,23,high,full_time,0
25,1,employed,high_school,1,married,stable,0,10,high,full_time,1
23,2,employed,college,0,single,stable,0,19,high,full_time,0
30,1,employed,high_school,0,single,unstable,0,29,medium,unemployed,0
23,2,employed,college,1,single,stable,0,19,medium,unemployed,0
32,2,employed,college,1,married,stable,0,19,low,unemployed,1
29,5,employed,none,0,single,unstable,0,11,high,part_time,1
28,2,employed,high_school,1,married,stable,0,17,medium,unemployed,0
22,2,unemployed,high_school,0,divorced,stable,0,10,medium,part_time,1
25,1,employed,none,0,single,stable,0,10,medium,unemployed,1
36,1,employed,high_school,0,married,stable,0,13,low,unemployed,1
34,0,employed,high_school,0,single,stable,0,16,high,part_time,1
22,0,unemployed,college,1,single,stable,0,18,low,part_time,0
30,2,unemployed,high_school,0,single,stable,1,25,medium,unemployed,1
36,4,unemployed,college,0,single,unstable,0,14,medium,full_time,1
18,2,employed,high_school,1,married,stable,1,11,medium,full_time,1
34,5,employed,college,1,single,unstable,0,20,medium,full_time,1
24,1,employed,high_school,0,single,stable,0,27,low,full_time,0
34,1,employed,college,0,married,stable,1,28,medium,part_time,1
23,2,employed,high_school,0,married,stable,0,22,medium,full_time,0
18,0,employed,high_school,0,single,unstable,0,20,medium,full_time,1
18,0,employed,high_school,1,married,stable,1,29,low,full_time,1
30,4,unemployed,high_school,1,married,stable,1,28,low,part_time,1
32,3,unemployed,none,0,single,unstable,1,26,low,full_time,1
22,1,employed,none,0,single,stable,0,14,medium,full_time,0
35,2,employed,none,0,single,unstable,0,22,low,full_time,1
18,0,employed,college,1,married,stable,0,29,high,full_time,0
29,0,employed,high_school,0,married,unstable,0,10,medium,unemployed,0
20,1,unemployed,high_school,0,married,unstable,1,19,medium,full_time,1
24,2,employed,college,0,single,stable,0,17,high,unemployed,1
30,2,unemployed,high_school,0,single,stable,0,17,low,part_time,1
23,1,employed,high_school,0,single,stable,0,28,high,unemployed,1
26,0,unemployed,none,0,single,unstable,0,15,medium,full_time,1
38,3,employed,college,1,married,stable,1,21,high,full_time,1
25,3,unemployed,college,1,married,stable,0,16,high,full_time,1
36,3,employed,college,1,single,stable,0,25,low,full_time,1
20,5,unemployed,high_school,0,single,stable,1,18,medium,part_time,1
34,2,employed,college,0,single,stable,0,19,medium,full_time,1
41,2,employed,none,0,single,stable,0,19,medium,full_time,1
18,3,unemployed,none,0,single,stable,0,19,low,unemployed,1
23,2,unemployed,none,1,single,stable,0,29,low,part_time,0
34,2,unemployed,high_school,0,single,stable,0,25,medium,full_time,1
28,2,unemployed,high_school,0,single,stable,1,10,medium,full_time,1
32,6,unemployed,high_school,1,single,unstable,0,26,high,full_time,1
25,4,employed,none,1,single,unstable,1,23,medium,unemployed,1
30,1,employed,high_school,0,married,stable,1,28,medium,unemployed,1
28,6,employed,college,0,single,stable,0,26,low,unemployed,1
39,1,unemployed,high_school,0,divorced,stable,0,23,low,unemployed,0
32,3,employed,college,0,single,stable,0,17,medium,part_time,1
32,1,employed,high_school,0,single,stable,0,18,high,full_time,1
26,3,employed,college,0,single,stable,1,17,medium,full_time,1
26,4,unemployed,high_school,1,single,stable,0,22,medium,unemployed,1
26,3,employed,high_school,0,married,unstable,0,26,high,unemployed,1
33,3,employed,high_school,0,single,stable,0,28,high,full_time,1
26,2,employed,high_school,0,divorced,stable,0,16,low,part_time,1
32,4,employed,college,0,married,stable,0,26,low,unemployed,1
46,4,employed,high_school,1,married,unstable,0,10,medium,full_time,1
36,1,unemployed,high_school,0,married,stable,0,14,medium,unemployed,1
27,2,unemployed,college,0,married,stable,0,15,high,full_time,1
39,2,unemployed,high_school,0,single,stable,0,11,low,full_time,1
26,2,employed,high_school,1,married,stable,0,25,low,full_time,0
18,2,unemployed,high_school,0,single,stable,0,14,high,part_time,0
21,2,employed,high_school,1,single,stable,0,14,medium,part_time,0
18,4,employed,high_school,0,single,stable,0,21,high,full_time,1
27,1,unemployed,high_school,0,married,stable,0,12,medium,unemployed,0
30,1,employed,college,0,married,stable,1,25,medium,part_time,0
43,1,employed,high_school,1,single,unstable,0,15,low,unemployed,1
32,2,unemployed,high_school,1,married,stable,0,24,low,full_time,1
28,1,employed,high_school,0,single,unstable,1,24,medium,unemployed,1
36,1,unemployed,college,0,single,stable,1,25,medium,full_time,0
18,3,employed,college,0,single,stable,0,29,low,full_time,1
31,2,unemployed,high_school,0,single,stable,0,22,high,full_time,1
36,1,employed,college,0,single,stable,0,21,low,full_time,1
18,1,employed,high_school,1,married,unstable,0,19,medium,unemployed,1
39,3,unemployed,high_school,1,married,unstable,1,23,low,full_time,1
32,0,employed,none,0,single,stable,0,11,high,full_time,1
26,2,employed,high_school,0,single,stable,0,12,low,unemployed,1
35,3,employed,high_school,1,married,stable,0,18,medium,part_time,1
48,0,employed,college,1,married,stable,0,20,low,unemployed,0
31,3,employed,high_school,0,single,stable,0,20,medium,full_time,1
31,2,employed,college,0,single,stable,1,19,medium,unemployed,0
26,3,unemployed,high_school,0,married,unstable,0,23,low,full_time,1
23,2,employed,high_school,0,married,stable,0,18,low,unemployed,1
36,2,employed,high_school,0,single,unstable,0,29,high,part_time,0
23,3,employed,none,0,single,unstable,0,19,high,part_time,1
30,2,employed,high_school,0,married,unstable,0,18,low,full_time,1
26,3,unemployed,none,0,single,stable,1,14,low,full_time,1
33,2,employed,high_school,0,divorced,stable,0,17,low,full_time,0
32,0,unemployed,high_school,0,single,stable,1,20,low,full_time,1
38,1,employed,college,1,married,stable,0,10,high,full_time,1
25,3,unemployed,high_school,1,single,stable,0,19,medium,unemployed,1
27,2,employed,none,0,single,unstable,0,10,medium,full_time,1
22,3,unemployed,high_school,0,married,unstable,0,16,high,unemployed,1
26,1,employed,college,1,single,unstable,1,23,medium,full_time,1
33,2,employed,college,0,married,unstable,0,14,medium,full_time,1
36,0,employed,high_school,0,single,stable,0,26,medium,unemployed,0
22,1,employed,high_school,0,single,stable,0,15,medium,unemployed,1
36,1,unemployed,none,0,single,stable,1,25,medium,full_time,0
40,0,employed,college,0,married,stable,0,20,low,full_time,0
33,4,employed,high_school,1,single,unstable,0,19,low,part_time,1
45,6,unemployed,high_school,0,single,stable,0,24,low,full_time,1
23,4,employed,high_school,0,single,stable,0,16,low,full_time,1
20,3,unemployed,none,1,married,stable,0,11,medium,part_time,1
18,1,unemployed,college,0,married,stable,1,21,medium,full_time,1
41,4,employed,none,0,single,stable,0,28,medium,full_time,1
35,2,unemployed,high_school,0,single,unstable,0,21,low,unemployed,1
29,3,employed,high_school,0,divorced,stable,0,25,medium,unemployed,1
32,2,employed,college,0,single,stable,0,15,low,full_time,1
20,0,employed,college,0,married,stable,0,12,medium,part_time,0
49,2,employed,high_school,0,married,stable,1,11,medium,full_time,0
31,2,unemployed,high_school,0,married,stable,1,29,low,unemployed,1
30,3,unemployed,college,0,single,unstable,1,14,medium,part_time,1
35,1,employed,none,0,married,stable,1,20,medium,full_time,0
33,0,employed,high_school,0,married,stable,0,12,low,full_time,1
31,1,unemployed,high_school,0,married,stable,0,12,low,full_time,1
23,3,employed,college,0,single,stable,0,14,high,part_time,1
33,1,employed,high_school,1,single,stable,0,20,low,unemployed,1
45,1,employed,college,0,single,stable,0,12,high,full_time,1
40,2,unemployed,high_school,0,married,stable,0,22,medium,full_time,0
42,5,employed,high_school,1,married,unstable,0,17,low,full_time,1
25,4,unemployed,high_school,0,single,stable,1,29,low,full_time,1
22,2,unemployed,high_school,0,single,stable,0,19,medium,full_time,0
28,2,employed,high_school,1,single,stable,1,11,medium,part_time,1
30,5,employed,high_school,1,married,stable,0,13,medium,part_time,1
38,1,unemployed,none,0,divorced,unstable,0,27,high,unemployed,1
18,2,employed,college,0,single,unstable,0,28,high,unemployed,1
42,1,unemployed,college,0,single,stable,0,13,low,part_time,1
28,3,unemployed,high_school,1,single,unstable,0,29,high,unemployed,1
26,0,unemployed,high_school,0,married,unstable,0,18,high,unemployed,1
21,0,unemployed,none,0,married,unstable,0,25,high,full_time,1
18,2,unemployed,high_school,1,divorced,stable,0,15,medium,full_time,1
36,1,unemployed,college,0,single,stable,0,13,medium,full_time,0
30,1,employed,none,1,divorced,stable,0,18,medium,part_time,1
19,2,employed,none,0,single,unstable,0,22,medium,unemployed,1
19,1,employed,college,0,married,stable,0,18,high,full_time,0
27,2,unemployed,high_school,0,single,stable,0,15,low,part_time,1
43,2,employed,none,1,married,stable,0,28,low,part_time,1
27,3,unemployed,high_school,0,married,stable,0,23,high,full_time,1
18,3,employed,high_school,0,married,stable,0,24,low,full_time,0
28,1,unemployed,high_school,0,married,unstable,0,12,high,full_time,1
27,1,employed,college,1,single,stable,0,14,medium,full_time,1
18,1,unemployed,college,1,single,unstable,0,27,low,unemployed,1
29,2,employed,high_school,0,married,stable,0,23,medium,unemployed,0
28,2,employed,college,0,single,stable,0,25,medium,unemployed,0
35,1,employed,high_school,1,single,stable,0,23,medium,unemployed,1
44,1,unemployed,college,0,single,stable,0,18,high,unemployed,1
39,3,employed,high_school,0,married,stable,0,24,high,part_time,0
27,1,employed,college,0,single,stable,0,16,medium,part_time,1
21,5,unemployed,college,1,single,stable,0,23,low,part_time,1
50,2,unemployed,none,0,single,unstable,0,15,high,part_time,1
30,3,unemployed,college,0,single,stable,0,24,medium,full_time,0
30,0,employed,college,0,married,stable,0,29,low,unemployed,0
29,3,employed,college,0,divorced,stable,0,17,high,full_time,0
31,0,unemployed,high_school,0,married,stable,1,11,high,part_time,1
28,4,employed,college,0,single,stable,1,17,medium,full_time,1
25,1,unemployed,college,0,divorced,stable,0,10,medium,full_time,1
25,2,employed,high_school,0,married,stable,0,26,medium,unemployed,0
29,3,employed,college,0,single,stable,0,28,medium,full_time,1
25,1,employed,none,1,divorced,stable,0,14,high,full_time,1
24,0,employed,none,1,married,unstable,1,29,high,full_time,0
30,2,employed,high_school,1,married,stable,1,25,medium,unemployed,1
27,2,employed,high_school,0,married,stable,0,16,medium,part_time,1
42,2,unemployed,high_school,0,single,unstable,0,16,high,part_time,0
18,0,employed,none,0,single,stable,0,27,low,unemployed,1
38,3,unemployed,college,1,married,stable,0,27,low,full_time,1
39,5,unemployed,none,1,single,stable,1,11,high,full_time,1
18,1,employed,none,1,single,stable,1,24,low,full_time,1
27,2,employed,none,0,married,stable,0,23,low,unemployed,1
27,2,unemployed,high_school,0,married,stable,0,27,low,part_time,1
18,6,unemployed,college,0,single,unstable,0,18,medium,full_time,1
23,1,unemployed,high_school,0,married,unstable,0,23,low,full_time,0
21,2,unemployed,college,0,married,stable,1,14,medium,full_time,1
44,1,unemployed,none,1,married,stable,0,20,high,part_time,1
37,1,employed,high_school,0,single,stable,0,17,medium,full_time,1
40,2,employed,high_school,0,single,stable,0,14,medium,full_time,0
35,0,unemployed,high_school,0,single,stable,1,20,low,full_time,1
20,4,employed,none,1,single,stable,0,14,medium,part_time,1
25,2,unemployed,high_school,0,single,stable,1,26,medium,part_time,1
33,3,employed,high_school,0,single,stable,1,13,medium,full_time,0
20,1,employed,college,1,single,unstable,1,24,low,part_time,1
35,1,unemployed,high_school,0,divorced,stable,0,28,medium,part_time,1
28,3,employed,none,0,single,unstable,0,11,high,unemployed,1
27,2,employed,high_school,0,married,unstable,0,26,medium,full_time,0
35,2,employed,none,0,married,stable,0,21,medium,part_time,0
33,0,unemployed,college,1,single,unstable,0,26,medium,full_time,1
27,1,employed,high_school,1,divorced,stable,0,19,medium,full_time,1
39,2,unemployed,none,0,married,stable,0,27,medium,unemployed,1
21,0,employed,college,0,single,stable,1,28,low,full_time,1
34,4,unemployed,high_school,0,married,stable,0,27,medium,full_time,1
34,5,unemployed,none,0,single,stable,0,22,high,full_time,1
27,0,employed,high_school,0,married,stable,0,23,medium,full_time,0
32,0,employed,high_school,0,single,stable,0,25,low,full_time,0
19,6,employed,college,0,married,stable,1,27,low,full_time,1
37,0,unemployed,college,1,single,stable,0,27,medium,unemployed,1
28,1,employed,college,0,married,stable,1,25,high,unemployed,1
25,0,unemployed,high_school,0,single,stable,0,26,medium,full_time,1
38,3,employed,high_school,0,married,stable,0,16,medium,part_time,0
24,2,employed,college,1,married,stable,0,21,low,unemployed,1
18,3,employed,none,0,single,stable,0,11,medium,full_time,1
18,5,employed,high_school,0,married,unstable,0,19,medium,full_time,1
34,5,employed,high_school,0,single,stable,0,14,high,unemployed,1
19,2,unemployed,none,1,married,stable,0,12,medium,part_time,1
44,3,unemployed,high_school,0,single,stable,0,28,medium,full_time,1
18,6,employed,college,1,married,unstable,0,22,medium,full_time,1
43,3,unemployed,college,1,married,stable,1,21,medium,part_time,1
31,2,unemployed,none,1,single,stable,0,12,high,unemployed,1
29,3,unemployed,none,0,single,stable,0,15,low,full_time,1
25,1,employed,high_school,0,single,stable,0,23,medium,unemployed,1
33,1,employed,college,0,married,stable,1,13,medium,full_time,1
29,4,employed,none,1,single,stable,1,22,medium,full_time,1
38,0,unemployed,college,0,married,unstable,0,28,low,full_time,0
30,6,employed,none,0,married,stable,0,27,medium,part_time,1
31,2,employed,high_school,0,single,stable,0,12,medium,full_time,1
27,3,employed,high_school,0,married,unstable,1,29,high,full_time,0
29,2,employed,college,0,single,stable,1,15,low,unemployed,1
32,0,unemployed,high_school,0,single,unstable,1,25,high,unemployed,1
18,1,employed,high_school,0,married,stable,0,29,low,full_time,1
19,4,employed,high_school,1,single,unstable,0,12,low,full_time,1
35,3,unemployed,college,0,single,stable,1,21,low,unemployed,1
31,3,unemployed,college,0,married,unstable,0,28,high,part_time,0
28,5,unemployed,none,0,single,unstable,0,28,low,full_time,1
30,1,unemployed,college,0,divorced,stable,0,13,medium,unemployed,0
32,4,unemployed,high_school,1,divorced,stable,1,10,medium,full_time,1
25,1,employed,none,0,single,stable,0,11,high,part_time,1
23,1,employed,high_school,0,single,unstable,0,22,high,full_time,1
31,1,unemployed,none,0,married,stable,0,22,medium,part_time,1
22,0,unemployed,college,1,single,stable,0,11,high,full_time,1
33,1,unemployed,college,0,single,stable,0,28,medium,part_time,1
18,4,employed,none,1,married,stable,0,25,high,unemployed,1
38,2,employed,high_school,0,single,stable,0,21,low,full_time,1
33,1,employed,college,0,married,unstable,0,10,low,part_time,1
32,1,employed,college,0,single,stable,1,18,medium,full_time,0
37,1,employed,high_school,1,single,unstable,1,26,medium,unemployed,0
43,2,unemployed,college,0,single,stable,0,19,medium,unemployed,1
38,2,employed,high_school,1,divorced,stable,1,27,medium,unemployed,1
18,0,employed,high_school,0,married,stable,0,28,medium,part_time,0
19,2,employed,college,0,married,stable,0,16,medium,unemployed,0
25,1,unemployed,high_school,0,single,unstable,0,28,low,full_time,1
30,2,employed,high_school,1,single,unstable,0,24,high,full_time,1
34,2,employed,high_school,0,single,stable,0,18,high,part_time,0
24,0,employed,college,1,single,stable,0,19,high,full_time,0
31,2,employed,college,1,married,stable,0,29,medium,unemployed,0
23,0,unemployed,high_school,1,married,unstable,0,29,medium,part_time,1
25,3,unemployed,high_school,0,single,unstable,0,13,high,full_time,1
18,4,employed,high_school,0,divorced,unstable,0,15,high,full_time,1
22,4,employed,high_school,1,single,stable,0,13,medium,full_time,1
19,3,unemployed,high_school,0,divorced,stable,0,14,medium,part_time,1
22,3,employed,college,0,single,stable,0,18,medium,full_time,1
38,2,employed,high_school,0,single,stable,0,21,medium,full_time,1
22,0,employed,high_school,0,single,stable,0,17,low,part_time,1
51,2,unemployed,none,0,single,stable,0,14,medium,unemployed,0
33,3,employed,high_school,0,married,stable,1,20,high,unemployed,1
31,1,employed,college,0,single,unstable,1,20,medium,unemployed,0
23,2,unemployed,high_school,0,single,unstable,1,22,medium,unemployed,1
35,1,employed,none,0,married,stable,0,23,medium,full_time,1
25,1,employed,high_school,0,married,stable,0,17,high,unemployed,1
30,2,unemployed,high_school,0,married,stable,1,27,medium,full_time,1
50,3,employed,none,0,single,unstable,0,28,medium,unemployed,1
29,2,unemployed,high_school,0,married,unstable,0,21,medium,part_time,0
39,0,employed,high_school,0,married,unstable,0,21,medium,unemployed,1
24,3,employed,high_school,0,single,unstable,0,27,medium,full_time,1
29,2,employed,high_school,1,single,stable,1,19,medium,full_time,1
44,2,employed,high_school,0,single,stable,0,16,medium,part_time,1
24,0,employed,college,1,single,stable,0,27,medium,full_time,0
44,4,unemployed,high_school,0,single,stable,0,21,low,unemployed,1
35,2,employed,high_school,0,single,unstable,0,23,low,part_time,1
25,2,employed,high_school,0,married,stable,0,24,low,part_time,1
35,1,employed,high_school,0,married,stable,0,25,high,unemployed,0
37,2,unemployed,college,0,divorced,stable,0,11,low,part_time,1
34,2,employed,high_school,0,married,unstable,0,27,low,full_time,1
18,2,employed,college,0,single,stable,0,21,low,full_time,1
24,4,employed,none,0,married,stable,0,25,medium,part_time,1
28,0,employed,high_school,0,married,stable,0,22,low,unemployed,0
29,1,employed,college,1,single,stable,0,29,medium,unemployed,0
34,4,unemployed,high_school,0,married,stable,0,26,low,unemployed,1
31,0,employed,high_school,0,divorced,unstable,1,27,high,full_time,0
19,0,employed,high_school,0,married,stable,1,12,high,full_time,1
33,3,employed,college,0,divorced,unstable,0,19,high,full_time,1
34,0,unemployed,none,1,single,stable,0,10,medium,unemployed,1
34,1,employed,college,0,single,stable,0,15,medium,full_time,1
38,0,employed,none,0,single,unstable,0,12,medium,full_time,1
36,1,employed,college,1,married,stable,0,28,medium,part_time,1
33,2,employed,high_school,0,married,stable,1,13,medium,full_time,1
29,2,employed,college,0,divorced,unstable,0,29,low,unemployed,1
18,1,employed,high_school,1,single,stable,1,12,medium,full_time,1
33,2,employed,college,0,single,unstable,0,17,low,full_time,1
31,3,employed,none,0,married,stable,0,17,medium,full_time,1
32,0,employed,none,0,married,stable,0,16,medium,unemployed,1
19,3,employed,high_school,0,single,stable,0,11,medium,full_time,1
21,1,employed,none,0,single,unstable,0,15,high,full_time,1
38,4,unemployed,none,1,married,stable,0,25,medium,full_time,1
29,5,unemployed,college,0,married,unstable,0,19,medium,full_time,1
35,1,unemployed,college,1,single,unstable,0,13,medium,unemployed,1
30,1,unemployed,high_school,1,single,stable,0,22,low,full_time,1
30,4,unemployed,college,0,divorced,stable,0,19,medium,unemployed,1
37,1,unemployed,high_school,0,married,stable,0,23,high,full_time,1
25,1,employed,high_school,0,single,stable,0,18,high,unemployed,1
30,3,unemployed,college,1,single,stable,0,20,medium,unemployed,1
26,2,employed,high_school,1,married,stable,0,27,low,part_time,1
26,0,employed,college,0,single,unstable,0,20,low,part_time,1
27,1,unemployed,high_school,0,single,unstable,0,26,medium,full_time,1
31,2,employed,high_school,0,married,unstable,0,11,high,part_time,1
26,1,employed,none,1,single,unstable,0,12,medium,full_time,1
40,4,unemployed,none,0,married,stable,0,20,high,full_time,1
22,3,employed,none,0,single,stable,1,27,medium,unemployed,1
28,0,employed,college,1,married,unstable,0,12,low,full_time,1
26,2,unemployed,college,0,single,stable,0,24,low,unemployed,1
41,4,unemployed,college,0,single,unstable,1,20,low,full_time,1
31,2,employed,high_school,0,single,stable,0,20,medium,part_time,1
38,1,employed,high_school,0,divorced,stable,1,29,low,unemployed,0
18,2,employed,none,0,married,unstable,0,20,medium,part_time,1
32,2,unemployed,high_school,1,single,unstable,0,28,medium,part_time,1
37,2,employed,high_school,0,married,stable,1,10,medium,unemployed,1
30,1,employed,college,0,married,unstable,0,14,low,unemployed,1
38,0,employed,high_school,0,divorced,stable,0,19,low,full_time,0
25,3,employed,none,0,single,stable,0,19,medium,part_time,1
41,6,unemployed,none,0,married,unstable,0,23,medium,full_time,1
48,1,employed,none,1,single,stable,0,11,medium,full_time,0
27,2,unemployed,high_school,1,single,stable,0,13,high,full_time,1
26,2,employed,college,0,divorced,stable,0,11,medium,full_time,1
41,2,unemployed,high_school,0,married,stable,0,27,medium,part_time,1
42,2,unemployed,college,0,single,stable,0,22,medium,unemployed,1
25,2,employed,high_school,1,single,stable,0,28,high,unemployed,1
26,1,employed,high_school,0,married,stable,0,14,medium,part_time,0
27,4,employed,none,1,married,unstable,1,29,medium,full_time,1
19,3,unemployed,college,0,single,stable,0,11,medium,full_time,1
22,0,employed,college,1,divorced,unstable,0,20,medium,full_time,1
21,2,unemployed,none,1,single,stable,0,27,medium,part_time,1
23,2,unemployed,high_school,1,single,stable,0,15,medium,full_time,1
29,3,unemployed,high_school,0,divorced,stable,0,19,high,part_time,0
31,1,unemployed,high_school,0,single,stable,1,26,high,unemployed,0
42,2,employed,college,0,single,stable,0,20,low,unemployed,1
22,0,employed,high_school,1,married,stable,1,28,low,unemployed,0
37,3,employed,high_school,0,married,stable,0,26,low,part_time,1
28,3,unemployed,none,1,single,stable,0,13,medium,full_time,1
29,2,unemployed,none,1,divorced,stable,0,23,medium,full_time,1
35,0,unemployed,none,0,married,stable,0,29,low,unemployed,1
21,3,employed,none,1,single,stable,0,13,low,part_time,1
33,2,employed,college,0,married,unstable,0,23,medium,part_time,1
31,4,unemployed,college,0,single,stable,0,13,low,full_time,1
33,1,employed,none,0,single,stable,1,15,low,part_time,0
32,3,employed,college,0,married,stable,1,18,medium,full_time,1
49,2,unemployed,none,1,divorced,unstable,0,21,low,full_time,1
24,4,employed,high_school,0,single,stable,0,17,low,full_time,1
25,0,employed,high_school,0,single,unstable,0,13,high,full_time,0
25,2,employed,high_school,0,single,stable,0,14,high,full_time,1
25,1,employed,high_school,1,single,unstable,1,15,medium,full_time,1
24,1,unemployed,high_school,0,single,unstable,0,14,low,unemployed,1
39,1,employed,high_school,1,single,unstable,0,28,medium,part_time,1
41,0,employed,college,0,married,stable,0,17,medium,part_time,0
25,1,employed,none,0,single,stable,0,18,low,full_time,1
23,2,unemployed,none,0,single,stable,0,24,low,unemployed,1
33,3,employed,none,0,married,stable,0,13,low,full_time,1
25,5,employed,high_school,1,married,unstable,0,18,medium,full_time,1
35,3,employed,none,0,single,stable,0,16,high,part_time,1
31,2,employed,college,1,single,stable,0,17,medium,full_time,1
18,4,employed,high_school,0,married,stable,0,24,medium,part_time,1
42,3,unemployed,high_school,0,single,stable,0,28,medium,part_time,0
44,2,unemployed,high_school,1,single,stable,0,24,medium,unemployed,1
25,1,employed,none,1,married,unstable,0,14,medium,unemployed,1
26,1,employed,none,0,single,stable,0,28,low,unemployed,1
32,4,unemployed,high_school,0,single,stable,0,16,medium,full_time,1
32,5,employed,high_school,0,single,stable,0,15,high,unemployed,1
35,1,unemployed,high_school,0,single,stable,0,28,medium,full_time,0
46,3,employed,none,1,single,stable,0,26,high,part_time,0
28,2,unemployed,college,1,divorced,stable,0,19,medium,unemployed,1
23,1,unemployed,none,0,single,unstable,0,28,medium,full_time,1
18,2,unemployed,college,1,single,unstable,0,20,low,part_time,1
24,1,unemployed,college,0,single,unstable,1,24,medium,full_time,1
29,2,employed,high_school,0,divorced,stable,1,19,high,full_time,1
44,1,unemployed,none,0,married,unstable,0,20,medium,unemployed,1
25,0,employed,none,0,single,unstable,0,12,low,full_time,1
31,2,employed,high_school,0,married,unstable,0,12,low,full_time,1
29,1,unemployed,high_school,0,single,stable,0,27,medium,full_time,0
39,2,unemployed,college,0,single,unstable,0,20,medium,unemployed,1
50,3,unemployed,college,0,single,unstable,1,29,medium,full_time,1
25,0,employed,high_school,1,single,unstable,0,27,high,full_time,0
26,0,unemployed,none,0,single,stable,1,24,medium,unemployed,0
38,2,unemployed,high_school,0,married,unstable,0,16,medium,full_time,1
35,1,employed,college,1,single,unstable,0,19,low,full_time,1
44,2,employed,high_school,1,married,stable,0,29,low,unemployed,0
34,3,employed,none,1,single,stable,0,19,medium,part_time,1
27,2,employed,college,0,single,unstable,0,22,high,unemployed,1
34,3,unemployed,high_school,0,single,stable,0,24,medium,full_time,1
38,3,unemployed,college,0,divorced,stable,0,27,medium,unemployed,1
36,3,unemployed,high_school,0,single,stable,0,13,low,unemployed,1
34,2,unemployed,none,1,married,unstable,0,29,high,full_time,1
38,0,employed,college,0,single,stable,0,26,high,full_time,0
39,2,unemployed,high_school,0,single,stable,0,12,medium,unemployed,1
41,2,employed,high_school,0,single,stable,0,11,low,full_time,1
